자치구,평균온도,평균습도
Yeongdeungpo-gu,29.4,68
Yeongdeungpo-gu,29.3,71
Yeongdeungpo-gu,30,67
Yeongdeungpo-gu,29.9,70
Yeongdeungpo-gu,28.8,77
Yeongdeungpo-gu,29.3,72
Dongjak-gu,24.8,100
Dongjak-gu,27.3,100
Gangbuk-gu,26.6,86
Yeongdeungpo-gu,28.6,100
Gangbuk-gu,26.6,82
Gangbuk-gu,27.9,80
Gangbuk-gu,29.1,76
Gangbuk-gu,26.3,87
Yeongdeungpo-gu,29.8,100
Gangbuk-gu,27.3,85
Gangbuk-gu,28.9,77
Gangbuk-gu,28.4,80
Gangbuk-gu,28.7,78
Gangbuk-gu,28.2,80
Yeongdeungpo-gu,29.1,71
Gangbuk-gu,25.6,89
Gangbuk-gu,26.5,86
Gangbuk-gu,28.6,78
Gangbuk-gu,29.3,76
Gangbuk-gu,27.9,79
Gangbuk-gu,27.7,81
Gangbuk-gu,27.3,83
Gangbuk-gu,28.6,75
Gangbuk-gu,26.2,100
Gangbuk-gu,29,100
Gangbuk-gu,26.1,88
Yongsan-gu,28.9,72
Yongsan-gu,30,71
Gangbuk-gu,26.5,100
Gangbuk-gu,25.8,89
Yongsan-gu,29.4,72
Gangbuk-gu,28.2,79
Yongsan-gu,29.4,73
Yongsan-gu,27.3,81
Yongsan-gu,28.6,100
Yongsan-gu,27.5,100
Gwanak-gu,28.4,75
Yongsan-gu,30.7,67
Yongsan-gu,29.1,75
Yongsan-gu,28.8,74
Yongsan-gu,29.4,72
Yongsan-gu,28.4,78
Yongsan-gu,28.9,75
Yongsan-gu,26.9,79
Gwanak-gu,29.4,72
Yongsan-gu,29.2,72
Yongsan-gu,29,72
Yongsan-gu,29.5,69
Gwanak-gu,29.1,72
Gwanak-gu,29.9,71
Gwanak-gu,29.4,71
Gwanak-gu,29.6,70
Gwanak-gu,27.4,76
Gwanak-gu,27.1,80
Gwanak-gu,27.1,81
Gwanak-gu,28.2,77
Gwanak-gu,28.9,74
Gwanak-gu,26.8,81
Gwanak-gu,29.7,70
Jung-gu,29.6,71
Gwanak-gu,26.1,81
Gwanak-gu,28.1,75
Gwanak-gu,28.8,74
Gwanak-gu,29.4,72
Gwanak-gu,29.2,72
Gwanak-gu,27.2,79
Gwanak-gu,27.5,80
Gwanak-gu,27.1,82
Gwanak-gu,27.9,78
Gwanak-gu,30.1,70
Gwanak-gu,27.4,100
Gwangjin-gu,27.9,81
Gwanak-gu,29.1,71
Gwanak-gu,27.3,78
Gwanak-gu,29.3,73
Gwanak-gu,28,78
Gwanak-gu,28.1,100
Eunpyeong-gu,29.5,72
Gwanak-gu,28.5,77
Gwanak-gu,29.5,70
Gwanak-gu,28.2,75
Gwanak-gu,29.2,73
Gwanak-gu,27.5,79
Gwanak-gu,26.9,78
Gwanak-gu,30,69
Eunpyeong-gu,28.1,77
Gwanak-gu,29.1,73
Eunpyeong-gu,27.2,78
Eunpyeong-gu,29.6,70
Yongsan-gu,29.3,72
Gwangjin-gu,27.4,100
Eunpyeong-gu,27,82
Eunpyeong-gu,26.2,82
Eunpyeong-gu,26.6,79
Gwangjin-gu,28.9,100
Eunpyeong-gu,28.7,74
Eunpyeong-gu,27,82
Eunpyeong-gu,26.4,85
Eunpyeong-gu,29,73
Eunpyeong-gu,26.6,84
Gwangjin-gu,28,100
Eunpyeong-gu,26.6,80
Eunpyeong-gu,28.9,73
Jongno-gu,28.6,75
Eunpyeong-gu,26.3,87
Jongno-gu,30.5,72
Eunpyeong-gu,27.9,76
Eunpyeong-gu,28.1,100
Eunpyeong-gu,23.9,100
Eunpyeong-gu,26.1,80
Jongno-gu,29.1,75
Eunpyeong-gu,27.7,100
Eunpyeong-gu,27.3,80
Eunpyeong-gu,27.5,78
Eunpyeong-gu,28.2,100
Jongno-gu,29.8,74
Yangcheon-gu,29.4,73
Jongno-gu,28.9,75
Jongno-gu,28,77
Jongno-gu,28.2,80
Jongno-gu,28.5,78
Jongno-gu,30.6,71
Jongno-gu,26.8,83
Jongno-gu,28.6,78
Jongno-gu,28.3,76
Jongno-gu,28.5,80
Jongno-gu,29.4,77
Jongno-gu,26.6,84
Jongno-gu,28.6,78
Jongno-gu,30.3,72
Jongno-gu,30,72
Jongno-gu,28.2,80
Yangcheon-gu,29.5,73
Jongno-gu,27.4,82
Jongno-gu,30.1,73
Jongno-gu,27.8,77
Jongno-gu,26.6,88
Jongno-gu,29,74
Jongno-gu,28.1,80
Jongno-gu,25.6,90
Jongno-gu,27.3,84
Jongno-gu,30.7,70
Jungnang-gu,29.2,76
Jongno-gu,28.2,76
Jongno-gu,28.9,77
Yangcheon-gu,29.3,74
Jongno-gu,26.4,100
Jongno-gu,28.4,100
Jongno-gu,27.4,100
Jongno-gu,28.9,90
Yangcheon-gu,29.4,71
Jungnang-gu,28.9,77
Jongno-gu,28.5,79
Jongno-gu,28.3,100
Jungnang-gu,28.2,79
Jongno-gu,26.8,100
Jongno-gu,28.1,75
Jongno-gu,28.5,100
Jungnang-gu,28.8,77
Jongno-gu,27.6,83
Jongno-gu,27.4,100
Jongno-gu,26.6,100
Jungnang-gu,29.3,75
Yangcheon-gu,26.5,85
Gangdong-gu,28.4,78
Gangdong-gu,28,79
Gangdong-gu,29,77
Yangcheon-gu,29.3,72
Jungnang-gu,28.5,78
Gangdong-gu,27.1,86
Yangcheon-gu,29.3,73
Yangcheon-gu,28.8,77
Jungnang-gu,28.7,78
Yangcheon-gu,29.7,72
Yangcheon-gu,27.8,81
Yangcheon-gu,26.9,85
Jungnang-gu,29.2,76
Jungnang-gu,28.7,79
Jungnang-gu,29,76
Jungnang-gu,29.1,75
Yangcheon-gu,30.1,68
Geumcheon-gu,28.5,77
Gangdong-gu,28.2,79
Gangdong-gu,27.3,84
Gangdong-gu,25.8,92
Gangdong-gu,28.8,79
Gangdong-gu,28.4,78
Guro-gu,29.5,72
Gangdong-gu,28.8,77
Gangdong-gu,27.5,81
Gangdong-gu,28.2,81
Gangdong-gu,28.5,80
Gangdong-gu,27.6,83
Gangdong-gu,28.4,80
Geumcheon-gu,29.1,74
Gangdong-gu,28.2,82
Gangdong-gu,28.4,79
Dobong-gu,28.6,100
Guro-gu,29.1,74
Nowon-gu,27.2,82
Gangdong-gu,28.8,80
Guro-gu,28.7,83
Gangdong-gu,28.1,81
Geumcheon-gu,26.1,84
Guro-gu,28.2,78
Guro-gu,29.7,71
Geumcheon-gu,28.3,76
Geumcheon-gu,27.9,75
Geumcheon-gu,29.5,72
Geumcheon-gu,29.4,72
Geumcheon-gu,28.9,74
Nowon-gu,28.7,75
Dobong-gu,24.8,100
Geumcheon-gu,27.9,77
Dobong-gu,27.8,100
Geumcheon-gu,29.1,100
Geumcheon-gu,28.7,75
Geumcheon-gu,30.5,69
Geumcheon-gu,27.9,79
Geumcheon-gu,29.6,71
Geumcheon-gu,28,79
Geumcheon-gu,28.9,75
Geumcheon-gu,28.3,76
Geumcheon-gu,27.4,80
Geumcheon-gu,25.8,88
Geumcheon-gu,29.4,73
Geumcheon-gu,28.4,76
Dobong-gu,26.9,83
Nowon-gu,27.8,82
Nowon-gu,29.3,75
Geumcheon-gu,27.1,83
Nowon-gu,26.4,86
Nowon-gu,26.7,83
Nowon-gu,28.9,77
Nowon-gu,27,84
Nowon-gu,27.5,81
Nowon-gu,26.5,87
Dobong-gu,27,100
Nowon-gu,28,79
Nowon-gu,28.1,78
Nowon-gu,28.7,76
Nowon-gu,27.7,79
Dobong-gu,27.5,100
Nowon-gu,27.8,81
Nowon-gu,28.6,77
Nowon-gu,24.3,93
Dobong-gu,18.3,100
Dobong-gu,20,100
Nowon-gu,26.8,85
Nowon-gu,25.3,93
Nowon-gu,26.1,85
Gangdong-gu,28.6,100
Dobong-gu,27.1,100
Gangdong-gu,27.7,100
Dobong-gu,28.2,100
Gangdong-gu,27.5,100
Gangdong-gu,28,100
Dobong-gu,27.7,100
Gangseo-gu,27.2,82
Dobong-gu,24.1,100
Dobong-gu,24.8,100
Gangdong-gu,27.6,100
Dobong-gu,26,100
Gangdong-gu,28.1,100
Gangdong-gu,28,100
Gangdong-gu,27.7,100
Gangseo-gu,28.8,75
Gangdong-gu,27.9,100
Gangseo-gu,28.8,100
Gangseo-gu,29.3,73
Gangdong-gu,27.8,100
Gangdong-gu,28.3,100
Gangseo-gu,26.2,100
Gangdong-gu,28.2,100
Gangseo-gu,28,100
Gangseo-gu,26.2,87
Gangdong-gu,28,100
Gwanak-gu,30.3,68
Gangseo-gu,29.3,100
Gangseo-gu,28.9,100
Gangseo-gu,29.1,100
Gangseo-gu,27.9,100
Gwanak-gu,28.8,75
Gangseo-gu,28,100
Gangseo-gu,27.5,100
Gwanak-gu,29.4,72
Gangseo-gu,28.1,100
Gangseo-gu,26.7,100
Gwanak-gu,29.5,71
Gangdong-gu,26.1,89
Gwanak-gu,29,70
Gwanak-gu,27.6,77
Gwanak-gu,26.8,83
Gwanak-gu,28.4,76
Gwanak-gu,27.4,81
Gwanak-gu,29,70
Gwanak-gu,28.8,75
Gwanak-gu,27.7,80
Gwanak-gu,27.5,76
Gwanak-gu,28.2,75
Gwanak-gu,26.8,83
Gwanak-gu,28.1,78
Gwanak-gu,28.1,76
Gwanak-gu,27.3,81
Gwanak-gu,28.1,74
Gwanak-gu,28.9,73
Gangdong-gu,27.3,100
Nowon-gu,28,81
Nowon-gu,29,78
Nowon-gu,28.1,100
Nowon-gu,24.9,100
Nowon-gu,28,78
Nowon-gu,27.8,82
Nowon-gu,27.8,100
Nowon-gu,25.2,87
Gwanak-gu,25.8,89
Nowon-gu,27.4,81
Dobong-gu,25.7,87
Nowon-gu,27.6,80
Gwanak-gu,28.9,74
Nowon-gu,28.4,78
Gwanak-gu,26.6,80
Gwanak-gu,30.6,69
Nowon-gu,26.6,85
Gangnam-gu,26.7,100
Dobong-gu,26.1,88
Gangnam-gu,29.7,100
Dobong-gu,28.7,78
Dobong-gu,28.5,78
Dobong-gu,28.4,77
Gangdong-gu,27,100
Dobong-gu,27.9,79
Dobong-gu,28.5,79
Dobong-gu,28,81
Dobong-gu,26.9,85
Dobong-gu,26.1,88
Dobong-gu,25.3,93
Gangnam-gu,26.8,100
Dobong-gu,28.8,76
Gangdong-gu,27.8,100
Dobong-gu,27.9,81
Dobong-gu,28.4,79
Dobong-gu,26.4,87
Dobong-gu,27.5,80
Dobong-gu,28.6,76
Dobong-gu,28.2,78
Dobong-gu,26.3,85
Dobong-gu,25.4,89
Dobong-gu,27.9,79
Dobong-gu,25.1,94
Dobong-gu,29.1,74
Dobong-gu,28.4,79
Gangdong-gu,27.8,80
Gangnam-gu,27.1,100
Gangdong-gu,28.5,80
Gangnam-gu,28,100
Gangnam-gu,29,100
Gangdong-gu,27.8,100
Gangdong-gu,26.7,100
Gangdong-gu,27.7,84
Gangdong-gu,28,82
Dobong-gu,28.4,79
Gangdong-gu,28.2,77
Gangnam-gu,25.5,100
Dongdaemun-gu,28.8,78
Gangdong-gu,26.5,100
Dongdaemun-gu,28.4,79
Gangdong-gu,26.9,100
Dongdaemun-gu,29.3,73
Gangdong-gu,25.7,100
Gangdong-gu,26.5,100
Gangdong-gu,27.5,100
Gangdong-gu,28.8,100
Gangdong-gu,28.4,100
Gangdong-gu,26.4,100
Dongjak-gu,28.1,100
Gangdong-gu,27.8,100
Dongdaemun-gu,28.7,75
Songpa-gu,29.1,77
Songpa-gu,28.5,77
Gangdong-gu,26.6,100
Songpa-gu,29.3,74
Songpa-gu,28.5,82
Songpa-gu,29.1,75
Songpa-gu,29.4,74
Songpa-gu,28.2,80
Songpa-gu,28.9,74
Yangcheon-gu,29.7,72
Songpa-gu,28.7,76
Songpa-gu,28.8,77
Mapo-gu,29.3,72
Mapo-gu,29.7,68
Mapo-gu,28.1,77
Mapo-gu,30.2,71
Yangcheon-gu,28.8,73
Songpa-gu,29.7,74
Mapo-gu,30.4,68
Mapo-gu,27.2,78
Yangcheon-gu,29.4,71
Mapo-gu,29.7,67
Yangcheon-gu,29.7,70
Yangcheon-gu,29.8,71
Yangcheon-gu,28.2,77
Yangcheon-gu,29.9,71
Yangcheon-gu,30.5,69
Mapo-gu,29.8,71
Yangcheon-gu,29.1,72
Yangcheon-gu,28.1,79
Mapo-gu,28.2,76
Yangcheon-gu,28,78
Mapo-gu,29.3,68
Mapo-gu,29.2,72
Yangcheon-gu,28.1,79
Mapo-gu,30,66
Seodaemun-gu,26.2,100
Yangcheon-gu,28.4,76
Mapo-gu,29.9,68
Seodaemun-gu,27.1,81
Mapo-gu,28.3,76
Seodaemun-gu,29.7,70
Mapo-gu,28.6,73
Mapo-gu,29.3,68
Seodaemun-gu,25.8,86
Yangcheon-gu,29.9,70
Mapo-gu,29.4,72
Mapo-gu,29.1,74
Seodaemun-gu,26.1,91
Gangnam-gu,30,71
Mapo-gu,28.5,73
Mapo-gu,28.9,71
Mapo-gu,29.1,73
Seodaemun-gu,27,80
Mapo-gu,27.8,77
Seocho-gu,28.2,79
Seodaemun-gu,29.7,69
Seodaemun-gu,29.2,71
Mapo-gu,30.2,69
Seocho-gu,28.7,75
Dongjak-gu,29.4,73
Seodaemun-gu,28.2,75
Mapo-gu,28.8,72
Seocho-gu,29.5,100
Seocho-gu,28.7,75
Gangnam-gu,29.2,71
Seocho-gu,28.9,75
Gangnam-gu,29.3,100
Seocho-gu,28.1,90
Seocho-gu,29,75
Seocho-gu,27.8,78
Gangnam-gu,29.3,74
Gangnam-gu,29.1,92
Jung-gu,28.4,77
Jungnang-gu,26.5,100
Jung-gu,28.3,78
Jungnang-gu,28.9,76
Jungnang-gu,28.5,78
Jungnang-gu,28.3,80
Jungnang-gu,26.9,84
Jungnang-gu,26.7,88
Jungnang-gu,26.7,86
Jungnang-gu,25.1,100
Jungnang-gu,27.3,83
Jungnang-gu,28.6,78
Jungnang-gu,28.4,78
Jungnang-gu,27.8,100
Jungnang-gu,25.1,100
Jungnang-gu,29.3,74
Jungnang-gu,26.1,89
Jungnang-gu,28.9,78
Jung-gu,28.8,77
Jung-gu,28.8,76
Jung-gu,28,82
Jung-gu,29.1,76
Jung-gu,27.5,80
Jung-gu,28.9,77
Jung-gu,28.8,75
Jung-gu,28.3,79
Jung-gu,32.8,63
Jung-gu,28.5,78
Jung-gu,29,78
Jung-gu,29.6,74
Jung-gu,28.4,79
Jung-gu,26.9,87
Jung-gu,32.6,64
Jung-gu,29.9,72
Jung-gu,29.5,75
Jung-gu,28.9,75
Jung-gu,28.2,76
Jung-gu,28.4,100
Jung-gu,27.8,79
Jung-gu,28.1,75
Jung-gu,27,85
Jung-gu,27.8,81
Jung-gu,25.7,91
Yangcheon-gu,28.5,100
Jung-gu,29.8,72
Yangcheon-gu,28.9,100
Yangcheon-gu,25.8,100
Yeongdeungpo-gu,29.6,73
Yeongdeungpo-gu,28.6,74
Yeongdeungpo-gu,29.4,72
Yeongdeungpo-gu,28.4,77
Yeongdeungpo-gu,29.2,72
Yeongdeungpo-gu,28.4,77
Yangcheon-gu,27.2,100
Yeongdeungpo-gu,29.5,70
Yangcheon-gu,28,100
Yeongdeungpo-gu,28.6,76
Yeongdeungpo-gu,30,70
Yeongdeungpo-gu,29.3,73
Yangcheon-gu,28.2,100
Yeongdeungpo-gu,29.3,73
Yeongdeungpo-gu,29.4,71
Yeongdeungpo-gu,28.5,76
Yeongdeungpo-gu,29.1,73
Yeongdeungpo-gu,28.6,73
Yeongdeungpo-gu,29.5,72
Yeongdeungpo-gu,28.5,74
Yeongdeungpo-gu,29.8,68
Yeongdeungpo-gu,28.9,73
Yeongdeungpo-gu,27.6,82
Yeongdeungpo-gu,29.2,70
Yeongdeungpo-gu,29,74
Yeongdeungpo-gu,28.5,79
Yeongdeungpo-gu,29.7,72
Dongjak-gu,27.9,100
Yeongdeungpo-gu,30.5,65
Yeongdeungpo-gu,28,77
Yeongdeungpo-gu,28.3,78
Yeongdeungpo-gu,29,71
Yeongdeungpo-gu,29.3,69
Dongjak-gu,24.7,100
Dongjak-gu,27.1,100
Yeongdeungpo-gu,29.7,69
Gangbuk-gu,28.1,80
Gangbuk-gu,27,85
Gangbuk-gu,28.2,79
Gangbuk-gu,27.4,82
Yeongdeungpo-gu,28.7,74
Gangbuk-gu,28.6,78
Gangbuk-gu,27,87
Gangbuk-gu,27.3,82
Yeongdeungpo-gu,29.2,100
Gangbuk-gu,25.9,88
Gangbuk-gu,25.2,90
Yeongdeungpo-gu,28.5,100
Gangbuk-gu,28,81
Gangbuk-gu,26.3,84
Gangbuk-gu,26.2,87
Gangbuk-gu,27.7,80
Gangbuk-gu,27.8,81
Yongsan-gu,28.8,76
Gangbuk-gu,26.3,87
Gangbuk-gu,28.8,78
Gangbuk-gu,28.1,80
Gangbuk-gu,28.6,100
Gangbuk-gu,25.8,100
Gangbuk-gu,27.5,82
Gangbuk-gu,28,78
Yongsan-gu,29.1,73
Gangbuk-gu,25.2,100
Yongsan-gu,27.2,83
Yongsan-gu,28.4,76
Gangbuk-gu,25.5,90
Yongsan-gu,29.7,72
Gangbuk-gu,25.7,89
Yongsan-gu,29.1,73
Yongsan-gu,27.9,78
Yongsan-gu,27.7,81
Yongsan-gu,26.3,82
Yongsan-gu,26.6,100
Yongsan-gu,28.8,77
Yongsan-gu,28.1,100
Yongsan-gu,28.4,76
Yongsan-gu,28.4,79
Gwanak-gu,28.7,73
Yongsan-gu,28.2,77
Yongsan-gu,28,79
Yongsan-gu,29.6,72
Gwanak-gu,29.3,72
Gwanak-gu,26.7,81
Gwanak-gu,28.3,75
Yongsan-gu,28.5,77
Gwanak-gu,28.6,73
Gwanak-gu,29.5,72
Gwanak-gu,27.7,76
Gwanak-gu,27.1,82
Gwanak-gu,27.7,79
Gwanak-gu,27.9,79
Gwanak-gu,28.1,78
Gwanak-gu,26.8,81
Gwanak-gu,26.9,82
Gwanak-gu,28.6,75
Gwanak-gu,26.5,82
Gwanak-gu,28.8,73
Gwanak-gu,28.9,73
Gwanak-gu,29,73
Gwanak-gu,27.8,100
Gwanak-gu,26.9,81
Gwanak-gu,26.1,81
Gwanak-gu,28.3,76
Jung-gu,28.5,76
Gwanak-gu,27.3,77
Eunpyeong-gu,27.6,78
Gwanak-gu,28,75
Gwanak-gu,27.1,100
Gwanak-gu,29.5,71
Gwanak-gu,28.7,75
Gwanak-gu,29.6,71
Gwanak-gu,28.9,74
Gwanak-gu,29.1,72
Gwanak-gu,29.3,72
Gwanak-gu,27.3,80
Gwanak-gu,28.9,75
Gwangjin-gu,27.5,82
Gwanak-gu,27.2,78
Gwanak-gu,26.6,79
Gwanak-gu,28.2,78
Gwanak-gu,29.4,71
Eunpyeong-gu,25.8,82
Eunpyeong-gu,28.4,76
Jongno-gu,28.3,79
Jongno-gu,28,80
Eunpyeong-gu,26,83
Eunpyeong-gu,26.1,83
Eunpyeong-gu,26.5,86
Eunpyeong-gu,29,74
Eunpyeong-gu,28.2,76
Eunpyeong-gu,27,80
Eunpyeong-gu,29,73
Gwangjin-gu,27.1,100
Eunpyeong-gu,26.7,84
Jongno-gu,30,73
Gwangjin-gu,27.5,100
Eunpyeong-gu,27.9,77
Eunpyeong-gu,26,85
Gwangjin-gu,28.5,100
Eunpyeong-gu,28.6,74
Eunpyeong-gu,26.3,83
Yongsan-gu,28.4,79
Jongno-gu,28.6,78
Eunpyeong-gu,26.4,80
Eunpyeong-gu,26.7,82
Jongno-gu,28.7,77
Eunpyeong-gu,27.7,100
Jongno-gu,28.1,77
Jongno-gu,26.6,84
Eunpyeong-gu,27.3,100
Eunpyeong-gu,23.4,100
Eunpyeong-gu,27.2,80
Eunpyeong-gu,27.7,100
Jongno-gu,28,80
Jongno-gu,27.7,79
Jongno-gu,30.3,72
Jongno-gu,27.6,80
Eunpyeong-gu,26,87
Jongno-gu,27.8,78
Jongno-gu,26.2,89
Jongno-gu,26.2,100
Jungnang-gu,28.8,77
Jongno-gu,26.1,100
Jongno-gu,27,84
Jongno-gu,28.3,79
Jungnang-gu,28.8,76
Jongno-gu,28,77
Jongno-gu,27.9,81
Jongno-gu,28.4,80
Jongno-gu,25.4,91
Jongno-gu,30,73
Jongno-gu,28.6,75
Jongno-gu,29.8,74
Jongno-gu,30.7,70
Jongno-gu,29.5,75
Jongno-gu,29,79
Jongno-gu,28.6,78
Jongno-gu,26.7,86
Yangcheon-gu,28.8,75
Jongno-gu,29.5,74
Jongno-gu,27.9,100
Jongno-gu,27.9,81
Yangcheon-gu,29.2,74
Jungnang-gu,28.3,79
Jongno-gu,28.3,100
Yangcheon-gu,29,75
Jongno-gu,27.6,78
Jongno-gu,27.1,100
Jungnang-gu,28.2,79
Jongno-gu,26.4,85
Jongno-gu,28.6,91
Yangcheon-gu,26.5,86
Yangcheon-gu,28.4,79
Jungnang-gu,27.8,80
Jungnang-gu,27.8,79
Yangcheon-gu,29,76
Jongno-gu,26.3,100
Jongno-gu,28,100
Yangcheon-gu,29,74
Jongno-gu,28.2,80
Jongno-gu,26.9,100
Jungnang-gu,28.8,77
Jongno-gu,27,85
Yangcheon-gu,29,74
Gangdong-gu,27.8,83
Yangcheon-gu,29.5,72
Jungnang-gu,28.6,77
Yangcheon-gu,29,76
Gangdong-gu,28.4,79
Gangdong-gu,28,82
Gangdong-gu,28.2,79
Jungnang-gu,28.8,77
Gangdong-gu,27.8,83
Jungnang-gu,28.3,79
Yangcheon-gu,27,85
Yangcheon-gu,27.8,81
Jungnang-gu,28.3,80
Gangdong-gu,27.2,85
Gangdong-gu,27.8,80
Gangdong-gu,27.3,82
Gangdong-gu,28.5,79
Gangdong-gu,27.9,80
Gangdong-gu,28.2,79
Nowon-gu,25.7,87
Gangdong-gu,25.6,92
Geumcheon-gu,27.6,76
Gangdong-gu,26.8,85
Gangdong-gu,28.2,81
Dobong-gu,28.1,100
Gangdong-gu,28,80
Guro-gu,28.1,88
Gangdong-gu,26.9,85
Guro-gu,28.4,77
Geumcheon-gu,28.5,76
Geumcheon-gu,27.9,77
Guro-gu,28.7,75
Geumcheon-gu,28.3,78
Guro-gu,27.9,80
Gangdong-gu,27.7,83
Geumcheon-gu,28.9,73
Guro-gu,29.1,73
Geumcheon-gu,28.5,75
Dobong-gu,27.2,100
Geumcheon-gu,29,73
Gangdong-gu,28.5,80
Gangdong-gu,28.4,82
Geumcheon-gu,29.1,73
Dobong-gu,23.7,100
Geumcheon-gu,27.7,78
Geumcheon-gu,27.2,81
Geumcheon-gu,25.7,89
Nowon-gu,27.1,83
Geumcheon-gu,28.8,75
Geumcheon-gu,28.7,76
Geumcheon-gu,27.9,77
Geumcheon-gu,30.2,70
Geumcheon-gu,27.1,83
Nowon-gu,28.9,77
Geumcheon-gu,27.4,81
Gwanak-gu,28.6,71
Geumcheon-gu,28.5,100
Geumcheon-gu,26,84
Geumcheon-gu,27.5,81
Nowon-gu,27.4,81
Geumcheon-gu,28.1,77
Geumcheon-gu,28.5,76
Nowon-gu,28.2,80
Nowon-gu,26.4,86
Dobong-gu,27.1,100
Nowon-gu,26.1,88
Nowon-gu,27.5,82
Nowon-gu,28.3,76
Nowon-gu,25.1,93
Dobong-gu,24.6,100
Nowon-gu,27.6,80
Nowon-gu,26.5,84
Nowon-gu,26.9,84
Nowon-gu,26,87
Nowon-gu,26.7,85
Nowon-gu,24.1,93
Nowon-gu,27.4,82
Nowon-gu,28,79
Nowon-gu,28,78
Nowon-gu,26.8,83
Dobong-gu,27.2,100
Dobong-gu,26.7,100
Gwanak-gu,28.6,75
Dobong-gu,27.8,100
Dobong-gu,25.7,100
Dobong-gu,26.7,100
Dobong-gu,18,100
Gangdong-gu,27.3,100
Dobong-gu,19.5,100
Gangdong-gu,27.1,100
Dobong-gu,24.7,100
Gangdong-gu,26.7,100
Dobong-gu,26.6,85
Gangseo-gu,25.9,89
Gangseo-gu,26.9,83
Gangdong-gu,27.5,100
Gangdong-gu,27.6,100
Gangseo-gu,28.9,76
Gangdong-gu,27.7,100
Gangseo-gu,28.5,77
Gangdong-gu,27.8,100
Gwanak-gu,30,70
Gangdong-gu,28.5,100
Gangdong-gu,27.6,100
Gangdong-gu,27.2,100
Gangdong-gu,27.5,100
Gangdong-gu,27.6,100
Gangdong-gu,27.1,100
Nowon-gu,27.2,82
Gangseo-gu,27.6,100
Gangseo-gu,28.6,100
Dobong-gu,28.3,79
Gangseo-gu,28.5,100
Gangseo-gu,27.6,100
Gangseo-gu,26.4,100
Gwanak-gu,27.7,76
Gangseo-gu,25.9,100
Gangseo-gu,28.9,100
Gangseo-gu,27.2,100
Gangseo-gu,27.9,100
Gangseo-gu,27.6,100
Gwanak-gu,28.4,76
Gwanak-gu,27.4,78
Gangseo-gu,28.3,100
Gwanak-gu,26.4,84
Gwanak-gu,29,73
Gwanak-gu,27.7,77
Gwanak-gu,28.2,77
Gwanak-gu,26.6,83
Gwanak-gu,26.8,78
Gwanak-gu,27.8,78
Gwanak-gu,27.3,82
Gwanak-gu,27.1,82
Gwanak-gu,27.8,75
Gwanak-gu,28.8,75
Gwanak-gu,27.4,81
Gwanak-gu,29,73
Nowon-gu,27.6,80
Nowon-gu,24.5,100
Nowon-gu,28.2,80
Gwanak-gu,28.4,71
Nowon-gu,27.5,83
Gwanak-gu,25.7,90
Nowon-gu,27.7,100
Nowon-gu,27.5,100
Nowon-gu,24.9,88
Nowon-gu,27,82
Gwanak-gu,28.6,75
Nowon-gu,27.6,80
Nowon-gu,26.2,86
Gwanak-gu,30.3,70
